,id,quotes,authors
608,609,"I am the wisest man alive, for I know one thing, and that is that I know nothing.",plato
817,818,"According to Greek mythology, humans were originally created with four arms, four legs and a head with two faces. Fearing their power, Zeus split them into two separate parts, condemning them to spend their lives in search of their other halves.",plato
2377,2378,"The man who has no sense of history, is like a man who has no ears or eyes",adolf hitler
2236,2237,"The secret of happiness, you see, is not found in seeking more, but in developing the capacity to enjoy less.",socrates
712,713,Education is teaching our children to desire the right things.,plato
249,250,"Dare to be free, dare to go as far as your thought leads, and dare to carry that out in your life. ",swami vivekanand
734,735,"Ignorance, the root and stem of every evil.",plato
2219,2220,We cannot live better than in seeking to become better.,socrates
1257,1258,"Where renunciation and longing for liberation are weak, tranquillity and the other virtues are a mere appearance, like the mirage in the desert.",adi shankaracharya
621,622,The madness of love is the greatest of heaven's blessings.,plato
2363,2364,The very first essential for success is a perpetually constant and regular employment of violence.,adolf hitler
1416,1417,"When your last breath arrives, Grammar can do nothing.",adi shankaracharya
2638,2639,"Obstacles do not exist to be surrendered to, but only to be broken.",adolf hitler
2685,2686,People who cast the votes decide nothing. The people who count the votes decide everything.,stalin
2110,2111,"He who is not contented with what he has, would not be contented with what he would like to have.",socrates
1735,1736,"A Nation should not be judged by how it treats its highest citizens, but it's lowest ones",nelson mandela
840,841,"Be kind, for everyone you meet is fighting a harder battle.",plato
145,146,"We are responsible for what we are, and whatever we wish ourselves to be, we have the power to make ourselves. If what we are now has been the result of our own past actions, it certainly follows that whatever we wish to be in the future can be produced by our present actions; so we have to know how to act.",swami vivekanand
495,496,"In the long history of humankind (and animal kind, too) those who learned to collaborate and improvise most effectively have prevailed.",charles darwin
2521,2522,"Do not compare yourself to others. If you do so, you are insulting yourself.",adolf hitler
992,993,What is a friend? A single soul dwelling in two bodies.,aristotle
1470,1471,Education is the most powerful weapon which you can use to change the world.,nelson mandela
1387,1388,"Of the plant of birth and death, the seed is Darkness, the sprout is the thought that body is Self, the shoot is rage, the sap is deeds, the body is the stem, the life-breaths are the branches, the tops are the bodily powers, sensuous things are the flowers, sorrow is the fruit, born of varied deeds and manifold; and the Life is the bird that eats the fruit.",adi shankaracharya
351,352,"We must, however, acknowledge, as it seems to me, that man with all his noble qualities... still bears in his bodily frame the indelible stamp of his lowly origin.",charles darwin
2253,2254,"There is only one good, knowledge, and one evil, ignorance.",socrates
1790,1791,"...Great progress was evident in the last Congress of the American 'Labour Union' in that among other things, it treated working women with complete equality. While in this respect the English, and still more the gallant French, are burdened with a spirit of narrow-mindedness. Anybody who knows anything of history knows that great social changes are impossible without the feminine ferment. Social progress can be measured exactly by the social position of the fair sex (the ugly ones included).",karl marx
2180,2181,Death may be the greatest of all human blessings.,socrates
1405,1406,"Yeilding to the power of rajas, he identifies himself with the many motions and changes of the mind. Therefore he is swept hither and thither, now rising, now sinking, in the boundless ocean of birth and death, whose waters are full of the poison of sense-objects. This is indeed a miserable fate.",adi shankaracharya
428,429,"It is not the strongest of the species that survives,not the most intelligent that survives.It is the one that is the most adaptable to change.",charles darwin
294,295,"whatever you think that you will be.if you think yourself weak,weak you will be;if you think yourself strong,you will be",swami vivekanand
228,229,"Strength is Life, Weakness is Death.Expansion is Life, Contraction is Death.Love is Life, Hatred is Death.",swami vivekanand
2775,2776,People who cast the votes decide nothing. The people who count the votes decide everything.,stalin
2019,2020,Let the ruling classes tremble at a Communistic revolution. The proletarians have nothing to lose but their chains. They have a world to win.Workingmen of all countries unite!,karl marx
2716,2717,"In the Soviet Union, it's takes more courage to retreat than advance.",stalin
54,55,"whatever you think that you will be.if you think yourself weak,weak you will be;if you think yourself strong,you will be",swami vivekanand
1663,1664,"As I walked out the door toward the gate that would lead to my freedom, I knew if I didn't leave my bitterness and hatred behind, I'd still be in prison.",nelson mandela
2162,2163,I cannot teach anybody anything. I can only make them think,socrates
2296,2297,"The secret of happiness, you see, is not found in seeking more, but in developing the capacity to enjoy less.",socrates
1633,1634,"As I walked out the door toward the gate that would lead to my freedom, I knew if I didn't leave my bitterness and hatred behind, I'd still be in prison.",nelson mandela
532,533,"As man advances in civilization, and small tribes are united into larger communities, the simplest reason would tell each individual that he ought to extend his social instincts and sympathies to all members of the same nation, though personally unknown to him. This point being once reached, there is only an artificial barrier to prevent his sympathies extending to the men of all nations and races.",charles darwin
966,967,Happiness depends upon ourselves.,aristotle
1180,1181,"Wishing to be friends is quick work, but friendship is a slow ripening fruit.",aristotle
2050,2051,"He who is not contented with what he has, would not be contented with what he would like to have.",socrates
2871,2872,"It doesnt matter how many people vote, only who counts them.",stalin
89,90,"A fool may buy all the books in the world, and they will be in his library; but he will be able to read only those that he deserves to.",swami vivekanand
617,618,"...and when one of them meets the other half, the actual half of himself, whether he be a lover of youth or a lover of another sort, the pair are lost in an amazement of love and friendship and intimacy and one will not be out of the other's sight, as I may say, even for a moment...",plato
1737,1738,"One of the things I learned when I was negotiating was that until I changed myself, I could not change others.",nelson mandela
1609,1610," As we let our own light shine, we unconsciously give other people permission to do the same.",nelson mandela
411,412,"We must, however, acknowledge, as it seems to me, that man with all his noble qualities... still bears in his bodily frame the indelible stamp of his lowly origin.",charles darwin
1902,1903,"Reason has always existed, but not always in a reasonable form.",karl marx
2591,2592,I use emotion for the many and reserve reason for the few.,adolf hitler
466,467,"One general law, leading to the advancement of all organic beings, namely, multiply, vary, let the strongest live and the weakest die.",charles darwin
670,671,Love is a serious mental disease.,plato
2927,2928,"Take some exercise, try to recover the look of a human being.",stalin
2220,2221,The only true wisdom is in knowing you know nothing.,socrates
1611,1612,"It is said that no one truly knows a nation until one has been inside its jails. A nation should not be judged by how it treats its highest citizens, but its lowest ones.",nelson mandela
1816,1817,"It is not the consciousness of men that determines their being, but, on the contrary, their social being that determines their consciousness.",karl marx
1150,1151,"Wishing to be friends is quick work, but friendship is a slow ripening fruit.",aristotle
583,584,Intelligence is based on how efficient a species became at doing the things they need to survive.,charles darwin
1889,1890,"The bourgeoisie, by the rapid improvement of all instruments of production, by the immensely facilitated means of communication, draws all, even the most barbarian, nations into civilization. The cheap prices of its commodities are the heavy artillery with which it batters down all Chinese walls, with which it forces the barbarians' intensely obstinate hatred of foreigners to capitulate. It compels all nations, on pain of extinction, to adopt the bourgeois mode of production; it compels them to introduce what it calls civilization into their midst, i.e., to become bourgeois themselves. In one word, it creates a world after its own image.",karl marx
194,195,"All love is expansion, all selfishness is contraction. Love is therefore the only law of life. He who loves lives, he who is selfish is dying. Therefore love for love's sake, because it is the only law of life, just as you breathe to live.",swami vivekanand
296,297,"Ask nothing; want nothing in return. Give what you have to give; it will come back to you, but do not think of that now.",swami vivekanand
1696,1697,"If you talk to a man in a language he understands, that goes to his head. If you talk to him in his language, that goes to his heart.",nelson mandela
1130,1131,Poverty is the parent of revolution and crime.,aristotle
1056,1057,Happiness depends upon ourselves.,aristotle
1519,1520," As we let our own light shine, we unconsciously give other people permission to do the same.",nelson mandela
1073,1074,The antidote for fifty enemies is one friend.,aristotle
1223,1224,"All human beings, according to the conception of the Vedic seers, form the physical body of the Purusha, or Cosmic Person. The spiritual men form, as it were, his head, the warriors His arms, the merchants and traders His thighs and the labourers His feet. A healthy co-ordination among these four classes of people sustains the strength and the well-being of a society, as a harmony among the four principal physical parts insures the strength and well-being of a body. (p. 30)",adi shankaracharya
983,984,The antidote for fifty enemies is one friend.,aristotle
2312,2313,I cannot teach anybody anything. I can only make them think,socrates
807,808,You should not honor men more than truth.,plato
1453,1454,"As I walked out the door toward the gate that would lead to my freedom, I knew if I didn't leave my bitterness and hatred behind, I'd still be in prison.",nelson mandela
1632,1633,Lead from the back — and let others believe they are in front.,nelson mandela
2043,2044,"There is only one good, knowledge, and one evil, ignorance.",socrates
50,51,The fire that warms us can also consume us; it is not the fault of the fire.,swami vivekanand
2888,2889,"When there's a person, there's a problem. When there's no person, there's no problem.",stalin
34,35,"The great secret of true success, of true happiness, is this: the man or woman who asks for no return, the perfectly unselfish person, is the most successful.",swami vivekanand
2263,2264,"The children now love luxury; they have bad manners, contempt for authority; they show disrespect for elders and love chatter in place of exercise. Children are now tyrants, not the servants of their households. They no longer rise when elders enter the room. They contradict their parents, chatter before company, gobble up dainties at the table, cross their legs, and tyrannize their teachers.",socrates
1857,1858,"There is no royal road to science, and only those who do not dread the fatiguing climb of its steep paths have a chance of gaining its luminous summits.",karl marx
2926,2927,"In the Soviet Union, it's takes more courage to retreat than advance.",stalin
2929,2930,The only real power comes out of a long rifle.,stalin
1189,1190,"I count him braver who overcomes his desires than him who conquers his enemies, for the hardest victory is over self.",aristotle
579,580,"...Whilst on board the Beagle I was quite orthodox, and I remember being heartily laughed at by several of the officers... for quoting the Bible as an unanswerable authority on some point of morality... But I had gradually come by this time, i.e., 1836 to 1839, to see that the Old Testament from its manifestly false history of the world, with the Tower of Babel, the rainbow at sign, &c., &c., and from its attributing to God the feelings of a revengeful tyrant, was no more to be trusted than the sacred books of the Hindoos, or the beliefs of any barbarian....By further reflecting that the clearest evidence would be requisite to make any sane man believe in the miracles by which Christianity is supported, (and that the more we know of the fixed laws of nature the more incredible do miracles become), that the men at that time were ignorant and credulous to a degree almost uncomprehensible by us, that the Gospels cannot be proved to have been written simultaneously with the events, that they differ in many important details, far too important, as it seemed to me, to be admitted as the usual inaccuracies of eyewitnesses; by such reflections as these, which I give not as having the least novelty or value, but as they influenced me, I gradually came to disbelieve in Christianity as a divine revelation. The fact that many false religions have spread over large portions of the earth like wild-fire had some weight with me. Beautiful as is the morality of the New Testament, it can be hardly denied that its perfection depends in part on the interpretation which we now put on metaphors and allegories.But I was very unwilling to give up my belief... Thus disbelief crept over me at a very slow rate, but was at last complete. The rate was so slow that I felt no distress, and have never since doubted even for a single second that my conclusion was correct. I can indeed hardly see how anyone ought to wish Christianity to be true; for if so the plain language of the text seems to show that the men who do not believe, and this would include my Father, Brother and almost all of my friends, will be everlastingly punished. And this is a damnable doctrine.",charles darwin
2814,2815,When the Bolsheviks came to power they were soft and easy with their enemies... we had begun by making a mistake. Leniency towards such a power was a crime against the working classes. That soon became apparent...,stalin
2347,2348,"The man who has no sense of history, is like a man who has no ears or eyes",adolf hitler
577,578,I am not apt to follow blindly the lead of other men,charles darwin
1997,1998,"In a higher phase of communist society, after the enslaving subordination of the individual to the division of labor, and therewith also the antithesis between mental and physical labor, has vanished; after labor has become not only a means of life but life's prime want; after the productive forces have also increased with the all-around development of the individual, and all the springs of co-operative wealth flow more abundantly—only then can the narrow horizon of bourgeois right be crossed in its entirety and society inscribe on its banners: From each according to his ability, to each according to his needs!",karl marx
2105,2106,"Strong minds discuss ideas, average minds discuss events, weak minds discuss people.",socrates
1270,1271,fallacies and not the correct explanations. But here follows a refutation of their reasonings independently of the texts. This is the difference.With regard to this the Sathkhyas,adi shankaracharya
2441,2442,I use emotion for the many and reserve reason for the few.,adolf hitler
2841,2842,"It doesnt matter how many people vote, only who counts them.",stalin
1533,1534,"A good head and good heart are always a formidable combination. But when you add to that a literate tongue or pen, then you have something very special.",nelson mandela
1751,1752,"The bourgeoisie, wherever it has got the upper hand, has put an end to all feudal, patriarchal, idyllic relations. It has pitilessly torn asunder the motley feudal ties that bound man to his 'natural superiors,' and has left remaining no other nexus between man and man than naked self-interest, callous 'cash payment.' It has drowned the most heavenly ecstasies of religious fervor, of chivalrous enthusiasm, of philistine sentimentalism, in the icy water of egotistical calculation. It has resolved personal worth into exchange value, and in place of the numberless indefeasible chartered freedoms, has set up that single, unconscionable freedom—Free Trade. In one word, for exploitation, veiled by religious and political illusions, it has substituted naked, shameless, direct, brutal exploitation.The bourgeoisie has stripped of its halo every occupation hitherto honored and looked up to with reverent awe. It has converted the physician, the lawyer, the priest, the poet, the man of science, into its paid wage laborers.The bourgeoisie has torn away from the family its sentimental veil, and has reduced the family relation to a mere money relation.",karl marx
2290,2291,"He who is not contented with what he has, would not be contented with what he would like to have.",socrates
1621,1622,"When a man is denied the right to live the life he believes in, he has no choice but to become an outlaw.",nelson mandela
2230,2231,"He who is not contented with what he has, would not be contented with what he would like to have.",socrates
694,695,The price good men pay for indifference to public affairs is to be ruled by evil men.,plato
1545,1546,There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,nelson mandela
1080,1081,Knowing yourself is the beginning of all wisdom.,aristotle
1122,1123,"Those who educate children well are more to be honored than they who produce them; for these only gave them life, those the art of living well.",aristotle
2858,2859,"When there's a person, there's a problem. When there's no person, there's no problem.",stalin
284,285,"All love is expansion, all selfishness is contraction. Love is therefore the only law of life. He who loves lives, he who is selfish is dying. Therefore love for love's sake, because it is the only law of life, just as you breathe to live.",swami vivekanand
1201,1202,"When our false perception is corrected, misery ends also.",adi shankaracharya
332,333,"Ignorance more frequently begets confidence than does knowledge: it is those who know little, not those who know much, who so positively assert that this or that problem will never be solved by science.",charles darwin
2282,2283,I cannot teach anybody anything. I can only make them think,socrates
2512,2513,"The state must declare the child to be the most precious treasure of the people. As long as the government is perceived as working for the benefit of the children, the people will happily endure almost any curtailment of liberty and almost any deprivation.",adolf hitler
2131,2132,The unexamined life is not worth living.,socrates
1055,1056,No great mind has ever existed without a touch of madness.,aristotle
211,212,"You have to grow from the inside out. None can teach you, none can make you spiritual. There is no other teacher but your own soul.",swami vivekanand
1466,1467,Where you stand depends on where you sit.,nelson mandela
2297,2298,Know thyself.,socrates
1207,1208,"Who but the Atman is capable of removing the bonds of ignorance, passion and self-interested action?",adi shankaracharya
1283,1284,"Die ersten Schritte sind wertlos, wenn der Weg nicht zu Ende gegangen wird.",adi shankaracharya
2914,2915,"It is not heroes that make history, but history that makes heroes.",stalin
615,616,"If women are expected to do the same work as men, we must teach them the same things.",plato
1404,1405,at peace like a fuelless fire;,adi shankaracharya
173,174,"Do one thing at a Time, and while doing it put your whole Soul into it to the exclusion of all else.",swami vivekanand
1105,1106,The high-minded man must care more for the truth than for what people think.,aristotle
1298,1299,When the Great Reality is not known the study of the scriptures is fruitless; when the Great Reality is known the study of the scriptures is also fruitless.,adi shankaracharya
876,877,The heaviest penalty for declining to rule is to be ruled by someone inferior to yourself.,plato
1527,1528,"One of the things I learned when I was negotiating was that until I changed myself, I could not change others.",nelson mandela
1082,1083,What is a friend? A single soul dwelling in two bodies.,aristotle
2323,2324,"The children now love luxury; they have bad manners, contempt for authority; they show disrespect for elders and love chatter in place of exercise. Children are now tyrants, not the servants of their households. They no longer rise when elders enter the room. They contradict their parents, chatter before company, gobble up dainties at the table, cross their legs, and tyrannize their teachers.",socrates
981,982,"The aim of art is to represent not the outward appearance of things, but their inward significance.",aristotle
323,324,"With savages, the weak in body or mind are soon eliminated; and those that survive commonly exhibit a vigorous state of health. We civilised men, on the other hand, do our utmost to check the process of elimination; we build asylums for the imbecile, the maimed, and the sick; we institute poor-laws; and our medical men exert their utmost skill to save the life of every one to the last moment. There is reason to believe that vaccination has preserved thousands, who from a weak constitution would formerly have succumbed to small-pox. Thus the weak members of civilised societies propagate their kind. No one who has attended to the breeding of domestic animals will doubt that this must be highly injurious to the race of man. It is surprising how soon a want of care, or care wrongly directed, leads to the degeneration of a domestic race; but excepting in the case of man himself, hardly any one is so ignorant as to allow his worst animals to breed.The aid which we feel impelled to give to the helpless is mainly an incidental result of the instinct of sympathy, which was originally acquired as part of the social instincts, but subsequently rendered, in the manner previously indicated, more tender and more widely diffused. Nor could we check our sympathy, if so urged by hard reason, without deterioration in the noblest part of our nature. The surgeon may harden himself whilst performing an operation, for he knows that he is acting for the good of his patient; but if we were intentionally to neglect the weak and helpless, it could only be for a contingent benefit, with a certain and great present evil. Hence we must bear without complaining the undoubtedly bad effects of the weak surviving and propagating their kind; but there appears to be at least one check in steady action, namely the weaker and inferior members of society not marrying so freely as the sound; and this check might be indefinitely increased, though this is more to be hoped for than expected, by the weak in body or mind refraining from marriage.",charles darwin
793,794,The measure of a man is what he does with power.,plato
1462,1463,"May your choices reflect your hopes, not your fears.",nelson mandela
68,69,"Anything that makes weak - physically, intellectually and spiritually, reject it as poison.",swami vivekanand
265,266,"We are responsible for what we are, and whatever we wish ourselves to be, we have the power to make ourselves. If what we are now has been the result of our own past actions, it certainly follows that whatever we wish to be in the future can be produced by our present actions; so we have to know how to act.",swami vivekanand
1947,1948,"There is no royal road to science, and only those who do not dread the fatiguing climb of its steep paths have a chance of gaining its luminous summits.",karl marx
1504,1505,It always seems impossible until it's done.,nelson mandela
434,435,Blushing is the most peculiar and most human of all expressions.,charles darwin
672,673,"good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws",plato
1750,1751,"A specter is haunting Europe—the specter of Communism. All the powers of old Europe have entered into a holy alliance to exorcise this specter; Pope and Czar, Metternich and Guizot, French radicals and German police spies.Where is the party in opposition that has not been decried as Communistic by its opponents in power? Where the opposition that has not hurled back the branding reproach of Communism, against the more advanced opposition parties, as well as against its reactionary adversaries?Two things result from this fact.I. Communism is already acknowledged by all European powers to be in itself a power.II. It is high time that Communists should openly, in the face of the whole world, publish their views, their aims, their tendencies, and meet this nursery tale of the Specter of Communism with a Manifesto of the party itself.",karl marx
1318,1319,fallacies and not the correct explanations. But here follows a refutation of their reasonings independently of the texts. This is the difference.With regard to this the Sathkhyas,adi shankaracharya
1475,1476,"I am fundamentally an optimist. Whether that comes from nature or nurture, I cannot say. Part of being optimistic is keeping one's head pointed toward the sun, one's feet moving forward. There were many dark moments when my faith in humanity was sorely tested, but I would not and could not give myself up to despair. That way lays defeat and death.",nelson mandela
2717,2718,"Take some exercise, try to recover the look of a human being.",stalin
304,305,"If the misery of the poor be caused not by the laws of nature, but by our institutions, great is our sin.",charles darwin
277,278,The greatest sin is to think yourself weak,swami vivekanand
1062,1063,"Those who educate children well are more to be honored than they who produce them; for these only gave them life, those the art of living well.",aristotle
287,288,"Neither seek nor avoid, take what comes.",swami vivekanand
314,315,Blushing is the most peculiar and most human of all expressions.,charles darwin
2745,2746,People who cast the votes decide nothing. The people who count the votes decide everything.,stalin
426,427,The love for all living creatures is the most noble attribute of man.,charles darwin
2499,2500,"Reading is not an end to itself, but a means to an end.",adolf hitler
1768,1769,"If money is the bond binding me to human life, binding society to me, connecting me with nature and man, is not money the bond of all bonds? Can it not dissolve and bind all ties? Is it not, therefore, also the universal agent of separation?",karl marx
2319,2320,"By all means marry; if you get a good wife, you’ll become happy; if you get a bad one, you’ll become a philosopher.",socrates
2005,2006,"If anything is certain, it is that I myself am not a Marxist.In a letter about the peculiar 'Marxism' which arose in France 1882",karl marx
1738,1739,Appearances matter — and remember to smile.,nelson mandela
1487,1488,"As I have said, the first thing is to be honest with yourself. You can never have an impact on society if you have not changed yourself... Great peacemakers are all people of integrity, of honesty, but humility.",nelson mandela
2537,2538,The art of reading and studying consists in remembering the essentials and forgetting what is not essential.,adolf hitler
2181,2182,Employ your time in improving yourself by other men's writings so that you shall come easily by what others have labored hard for.,socrates
1276,1277,"Like the appearance of silver in mother of pearl, the world seems real until the Self, the underlying reality, is realized.",adi shankaracharya
1520,1521,"A leader. . .is like a shepherd. He stays behind the flock, letting the most nimble go out ahead, whereupon the others follow, not realizing that all along they are being directed from behind.",nelson mandela
2132,2133,I cannot teach anybody anything. I can only make them think,socrates
2785,2786,We don't let them have ideas. Why would we let them have guns?,stalin
2006,2007,"For as soon as the distribution of labour comes into being, each man has a particular, exclusive sphere of activity, which is forced upon him and from which he cannot escape. He is a hunter, a fisherman, a herdsman, or a critical critic, and must remain so if he does not want to lose his means of livelihood; while in communist society, where nobody has one exclusive sphere of activity but each can become accomplished in any branch he wishes, society regulates the general production and thus makes it possible for me to do one thing today and another tomorrow, to hunt in the morning, fish in the afternoon, rear cattle in the evening, criticise after dinner, just as I have a mind, without ever becoming hunter, fisherman, herdsman or critic.",karl marx
631,632,"Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.",plato
576,577,The love for all living creatures is the most noble attribute of man.,charles darwin
1467,1468,"One of the things I learned when I was negotiating was that until I changed myself, I could not change others.",nelson mandela
1069,1070,"I count him braver who overcomes his desires than him who conquers his enemies, for the hardest victory is over self.",aristotle
862,863,Education is teaching our children to desire the right things.,plato
1469,1470,"After climbing a great hill, one only finds that there are many more hills to climb.",nelson mandela
2372,2373,if you want to shine like sun first you have to burn like it.,adolf hitler
506,507,"We can allow satellites, planets, suns, universe, nay whole systems of universe, to be governed by laws, but the smallest insect, we wish to be created at once by special act.",charles darwin
902,903,What is a friend? A single soul dwelling in two bodies.,aristotle
1324,1325,"Like the appearance of silver in mother of pearl, the world seems real until the Self, the underlying reality, is realized.",adi shankaracharya
1178,1179,"Anybody can become angry — that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way — that is not within everybody's power and is not easy.",aristotle
1059,1060,A friend to all is a friend to none.,aristotle
2790,2791,A single death is a tragedy; a million deaths is a statistic.,stalin
2436,2437,"When diplomacy ends, War begins.",adolf hitler
2930,2931,redacted; spurious.,stalin
2277,2278,"I examined the poets, and I look on them as people whose talent overawes both themselves and others, people who present themselves as wise men and are taken as such, when they are nothing of the sort.From poets, I moved to artists. No one was more ignorant about the arts than I; no one was more convinced that artists possessed really beautiful secrets. However, I noticed that their condition was no better than that of the poets and that both of them have the same misconceptions. Because the most skillful among them excel in their specialty, they look upon themselves as the wisest of men. In my eyes, this presumption completely tarnished their knowledge. As a result, putting myself in the place of the oracle and asking myself what I would prefer to be — what I was or what they were, to know what they have learned or to know that I know nothing — I replied to myself and to the god: I wish to remain who I am.We do not know — neither the sophists, nor the orators, nor the artists, nor I— what the True, the Good, and the Beautiful are. But there is this difference between us: although these people know nothing, they all believe they know something; whereas, I, if I know nothing, at least have no doubts about it. As a result, all this superiority in wisdom which the oracle has attributed to me reduces itself to the single point that I am strongly convinced that I am ignorant of what I do not know.",socrates
866,867,"There are two things a person should never be angry at, what they can help, and what they cannot.",plato
456,457,The love for all living creatures is the most noble attribute of man.,charles darwin
637,638,"According to Greek mythology, humans were originally created with four arms, four legs and a head with two faces. Fearing their power, Zeus split them into two separate parts, condemning them to spend their lives in search of their other halves.",plato
341,342,The highest possible stage in moral culture is when we recognise that we ought to control our thoughts.,charles darwin
2723,2724,"If Stalin was such a bad guy, why do all these people have to resort to attributing to him almost entirely quotes he didn't make, or manipulate his actual quotes just enough to make them seem evil?",stalin
2613,2614,"And I can fight only for something that I love, love only what I respect, and respect only what I at least know.",adolf hitler
1796,1797,"For as soon as the distribution of labour comes into being, each man has a particular, exclusive sphere of activity, which is forced upon him and from which he cannot escape. He is a hunter, a fisherman, a herdsman, or a critical critic, and must remain so if he does not want to lose his means of livelihood; while in communist society, where nobody has one exclusive sphere of activity but each can become accomplished in any branch he wishes, society regulates the general production and thus makes it possible for me to do one thing today and another tomorrow, to hunt in the morning, fish in the afternoon, rear cattle in the evening, criticise after dinner, just as I have a mind, without ever becoming hunter, fisherman, herdsman or critic.",karl marx
689,690,The beginning is the most important part of the work.,plato
921,922,"The aim of art is to represent not the outward appearance of things, but their inward significance.",aristotle
1901,1902,"The bourgeoisie, wherever it has got the upper hand, has put an end to all feudal, patriarchal, idyllic relations. It has pitilessly torn asunder the motley feudal ties that bound man to his 'natural superiors,' and has left remaining no other nexus between man and man than naked self-interest, callous 'cash payment.' It has drowned the most heavenly ecstasies of religious fervor, of chivalrous enthusiasm, of philistine sentimentalism, in the icy water of egotistical calculation. It has resolved personal worth into exchange value, and in place of the numberless indefeasible chartered freedoms, has set up that single, unconscionable freedom—Free Trade. In one word, for exploitation, veiled by religious and political illusions, it has substituted naked, shameless, direct, brutal exploitation.The bourgeoisie has stripped of its halo every occupation hitherto honored and looked up to with reverent awe. It has converted the physician, the lawyer, the priest, the poet, the man of science, into its paid wage laborers.The bourgeoisie has torn away from the family its sentimental veil, and has reduced the family relation to a mere money relation.",karl marx
2836,2837,"In the Soviet Union, it's takes more courage to retreat than advance.",stalin
1693,1694,"As I walked out the door toward the gate that would lead to my freedom, I knew if I didn't leave my bitterness and hatred behind, I'd still be in prison.",nelson mandela
1290,1291,"Who is more self-deluded than he who is careless of his own welfare after gaining a hard-won human birth and manhood, too?",adi shankaracharya
129,130,"Dare to be free, dare to go as far as your thought leads, and dare to carry that out in your life. ",swami vivekanand
2684,2685,"music's a good thing, it calm the beast in the man. ",stalin
2660,2661,redacted; spurious.,stalin
1784,1785,To be radical is to grasp things by the root.,karl marx
502,503,"As man advances in civilization, and small tribes are united into larger communities, the simplest reason would tell each individual that he ought to extend his social instincts and sympathies to all members of the same nation, though personally unknown to him. This point being once reached, there is only an artificial barrier to prevent his sympathies extending to the men of all nations and races.",charles darwin
1957,1958,"The history of all hitherto existing society is the history of class struggles.Freeman and slave, patrician and plebeian, lord and serf, guildmaster and journeyman, in a word, oppressor and oppressed, stood in constant opposition to one another, carried on an uninterrupted, now hidden, now open fight, that each time ended, either in the revolutionary reconstitution of society at large, or in the common ruin of the contending classes.",karl marx
2741,2742,"It is difficult for me to imagine what personal liberty is enjoyed by an unemployed person, who goes about hungry, and cannot find employment.Real liberty can exist only where exploitation has been abolished, where there is no oppression of some by others, where there is no unemployment and poverty, where a man is not haunted by the fear of being tomorrow deprived of work, of home and of bread. Only in such a society is real, and not paper, personal and every other liberty possible.",stalin
976,977,"Those who know, do. Those that understand, teach.",aristotle
2580,2581,"If you win, you need not have to explain...If you lose, you should not be there to explain!",adolf hitler
2563,2564,"To conquer a nation, first disarm its citizens.",adolf hitler
1565,1566,"I am fundamentally an optimist. Whether that comes from nature or nurture, I cannot say. Part of being optimistic is keeping one's head pointed toward the sun, one's feet moving forward. There were many dark moments when my faith in humanity was sorely tested, but I would not and could not give myself up to despair. That way lays defeat and death.",nelson mandela
39,40,"Dare to be free, dare to go as far as your thought leads, and dare to carry that out in your life. ",swami vivekanand
1253,1254,"You never identify yourself with the shadow cast by your body, or with its reflection, or with the body you see in a dream or in your imagination. Therefore you should not identify yourself with this living body, either.",adi shankaracharya
641,642,One of the penalties of refusing to participate in politics is that you end up being governed by your inferiors.,plato
505,506,"The following proposition seems to me in a high degree probable—namely, that any animal whatever, endowed with well-marked social instincts, the parental and filial affections being here included, would inevitably acquire a moral sense or conscience, as soon as its intellectual powers had become as well, or nearly as well developed, as in man. For, firstly, the social instincts lead an animal to take pleasure in the society of its fellows, to feel a certain amount of sympathy with them, and to perform various services for them.",charles darwin
1016,1017,"To write well, express yourself like the common people, but think like a wise man.",aristotle
1284,1285,at peace like a fuelless fire;,adi shankaracharya
1672,1673,"May your choices reflect your hopes, not your fears.",nelson mandela
108,109,"Strength is Life, Weakness is Death.Expansion is Life, Contraction is Death.Love is Life, Hatred is Death.",swami vivekanand
2489,2490,Humanitarianism is the expression of stupidity and cowardice.,adolf hitler
1883,1884,"Under no pretext should arms and ammunition be surrendered; any attempt to disarm the workers must be frustrated, by force if necessary",karl marx
103,104,Be not Afraid of anything. You will do Marvelous work. it is Fearlessness that brings Heaven even in a moment.,swami vivekanand
713,714,Courage is knowing what not to fear.,plato
2872,2873,In the Soviet army it takes more courage to retreat than advance.,stalin
2614,2615,Anyone can deal with victory. Only the mighty can bear defeat.,adolf hitler
1669,1670," As we let our own light shine, we unconsciously give other people permission to do the same.",nelson mandela
1192,1193,It is not enough to win a war; it is more important to organize the peace.,aristotle
433,434,Intelligence is based on how efficient a species became at doing the things they need to survive.,charles darwin
2349,2350,"Reading is not an end to itself, but a means to an end.",adolf hitler
1651,1652,"When a man is denied the right to live the life he believes in, he has no choice but to become an outlaw.",nelson mandela
2773,2774,Gratitude is an illness suffered by dogs.,stalin
110,111,The fire that warms us can also consume us; it is not the fault of the fire.,swami vivekanand
2252,2253,I cannot teach anybody anything. I can only make them think,socrates
882,883,"good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws",plato
770,771,"Human behavior flows from three main sources: desire, emotion, and knowledge. ",plato
